dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,year,4.0,8.0,0.0131401466205716,2022-11-03 16:20:58.841641,2022-11-03 16:41:37.896468,0 days 00:20:39.054827,584.0,5.0,2.0,0.0,linear,spectral,8.0,0.0528395342257951,131.0,True,17.0,"[1.0171175003051758, 0.7300868034362793, 0.7107838988304138, 0.6908919811248779, 0.6717373728752136, 0.6526105403900146, 0.6323239207267761, 0.6120612621307373, 0.5914617776870728, 0.570985734462738, 0.5502102375030518, 0.5293078422546387, 0.5083789229393005, 0.4873265027999878, 0.46568965911865234, 0.4447038769721985, 0.42223384976387024, 0.43740832805633545, 0.4084215462207794, 0.41655460000038147, 0.42229169607162476, 0.42754921317100525]","[0.015061339363455772, 0.015061359852552414, 0.015061914920806885, 0.015061313286423683, 0.01506129465997219, 0.015061461366713047, 0.01506129652261734, 0.01506124995648861, 76153.3046875, 7493.59033203125, 0.015490948222577572, 0.013690600171685219, 13673.3720703125, 252897.15625, 144284.875, 51907724.0, 0.013140146620571613, 0.015001335181295872, 19403.634765625, 0.014616853557527065, 0.01396747212857008, 0.01908072456717491]",COMPLETE,,,,
44027.0,year,4.0,9.0,0.0149644380435347,2022-11-03 16:41:37.897044,2022-11-03 16:42:50.496316,0 days 00:01:12.599272,676.0,4.0,2.0,0.0,linear,matern0.5,,0.00054508356927,144.0,False,,,,PRUNED,0.0149644380435347,,,
44027.0,year,4.0,10.0,0.0154636492952704,2022-11-03 16:42:50.496681,2022-11-03 16:43:31.716521,0 days 00:00:41.219840,607.0,2.0,2.0,0.0,constant,matern0.5,,0.0001282418370005,240.0,True,4.0,"[0.7469270825386047, 0.7468793392181396, 0.7467676997184753, 0.7466457486152649, 0.7465568780899048, 0.7464737892150879, 0.7463645339012146, 0.7463040947914124, 0.7461652755737305]","[0.016270151361823082, 0.01582937315106392, 0.015893634408712387, 0.015463649295270443, 0.016565321013331413, 0.01606524921953678, 0.015789451077580452, 0.01666020229458809, 0.015935225412249565]",COMPLETE,,,,
44027.0,year,4.0,11.0,0.0107848448678851,2022-11-03 16:43:31.717079,2022-11-03 16:45:01.938005,0 days 00:01:30.220926,950.0,3.0,2.0,0.0,linear,matern1.5,,0.0002378947227173,70.0,True,21.0,"[0.744326651096344, 0.7440686225891113, 0.743892252445221, 0.7437551021575928, 0.7436270713806152, 0.743505597114563, 0.7433957457542419, 0.7432875037193298, 0.7431749701499939, 0.7430634498596191, 0.7429539561271667, 0.7428449392318726, 0.7427418828010559, 0.7426419854164124, 0.7425409555435181, 0.7424376010894775, 0.7423373460769653, 0.7422422766685486, 0.7421475648880005, 0.7420530915260315, 0.7419565320014954, 0.741861879825592, 0.7417678833007812, 0.7416726350784302, 0.7415773272514343, 0.7414835095405579]","[0.011490515433251858, 0.01135292649269104, 0.011273565702140331, 0.011217945255339146, 0.011162363924086094, 0.011120813898742199, 0.011085856705904007, 0.011046706698834896, 0.011009949259459972, 0.01097418274730444, 0.01094325352460146, 0.01092112809419632, 0.010904342867434025, 0.010885530151426792, 0.010860072448849678, 0.010913066565990448, 0.010888085700571537, 0.010863647796213627, 0.010853336192667484, 0.010806911624968052, 0.010784844867885113, 0.010846550576388836, 0.010843547061085701, 0.011019490659236908, 0.011203797534108162, 0.011242290027439594]",COMPLETE,0.0112179452553391,0.0109741827473044,,
44027.0,year,4.0,12.0,0.0148398084565997,2022-11-03 16:45:01.938652,2022-11-03 16:45:27.551399,0 days 00:00:25.612747,437.0,2.0,2.0,0.0,linear,matern1.5,,0.0001078191786874,282.0,True,,,,PRUNED,0.0148398084565997,,,
44027.0,year,4.0,13.0,0.0151574667543172,2022-11-03 16:45:27.551769,2022-11-03 16:54:03.329422,0 days 00:08:35.777653,372.0,3.0,2.0,0.0,linear,matern0.5,,0.0311539494403028,268.0,False,,,,PRUNED,0.0151574667543172,,,
44027.0,year,4.0,14.0,0.0131614273414015,2022-11-03 16:54:03.329793,2022-11-03 17:04:08.839249,0 days 00:10:05.509456,895.0,2.0,2.0,0.0,linear,matern0.5,,0.0314230525950215,233.0,True,,,,PRUNED,0.0131614273414015,,,
44027.0,year,4.0,15.0,0.0384318605065345,2022-11-03 17:04:08.839623,2022-11-03 17:05:03.611375,0 days 00:00:54.771752,1024.0,3.0,2.0,0.0,linear,spectral,3.0,0.0018645314299253,24.0,True,,,,PRUNED,0.0384318605065345,,,
44027.0,year,4.0,16.0,0.0142485732212662,2022-11-03 17:05:03.611736,2022-11-03 17:08:55.037206,0 days 00:03:51.425470,793.0,2.0,2.0,0.0,constant,matern1.5,,0.0709093870300869,72.0,True,,,,PRUNED,0.0142485732212662,,,
44027.0,year,4.0,17.0,0.0110676465556025,2022-11-03 17:08:55.037568,2022-11-03 17:09:37.530519,0 days 00:00:42.492951,887.0,2.0,2.0,0.0,constant,matern1.5,,0.0018923789100391,93.0,True,,,,PRUNED,0.0122774625197052,0.0110676465556025,,
