dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,42.0,0.0005173496319912,2022-10-11 15:40:46.724212,2022-10-11 15:41:21.989387,0 days 00:00:35.265175,162.0,2.0,3.0,0.0,linear,matern0.5,,0.0007467313094447,35.0,0.0,5.0,,,COMPLETE,
216.0,k2204_PPV,1.0,43.0,0.0004653899086406,2022-10-11 15:41:21.989957,2022-10-11 15:42:33.407359,0 days 00:01:11.417402,361.0,2.0,3.0,0.0,linear,matern0.5,,0.0472809803068674,26.0,0.0,21.0,,,COMPLETE,
216.0,k2204_PPV,1.0,44.0,0.0005241827020654,2022-10-11 15:42:33.408045,2022-10-11 15:44:53.352636,0 days 00:02:19.944591,194.0,4.0,4.0,0.0,linear,matern0.5,,0.068856235936527,20.0,0.0,21.0,,,COMPLETE,
216.0,k2204_PPV,1.0,45.0,0.0003304468700662,2022-10-11 15:44:53.353210,2022-10-11 15:46:58.948938,0 days 00:02:05.595728,119.0,2.0,3.0,0.0,constant,matern0.5,,0.0275708025817545,31.0,0.0,45.0,,,COMPLETE,
216.0,k2204_PPV,1.0,46.0,0.2995360530912876,2022-10-11 15:46:58.949514,2022-10-11 15:47:47.105343,0 days 00:00:48.155829,101.0,5.0,3.0,0.0,linear,spectral,5.0,0.0001524231878549,33.0,1.0,9.0,,,COMPLETE,
216.0,k2204_PPV,1.0,47.0,0.0001099838555091,2022-10-11 15:47:47.105947,2022-10-11 15:51:20.900314,0 days 00:03:33.794367,225.0,2.0,3.0,0.0,linear,matern0.5,,0.0447898216969056,29.0,0.0,86.0,,,COMPLETE,
216.0,k2204_PPV,1.0,48.0,0.0005548635162995,2022-10-11 15:51:20.900878,2022-10-11 15:52:01.950417,0 days 00:00:41.049539,169.0,2.0,2.0,0.0,linear,rbf,,0.0306869488474248,57.0,0.0,15.0,,,COMPLETE,
216.0,k2204_PPV,1.0,49.0,0.0004030024865642,2022-10-11 15:52:01.950988,2022-10-11 15:53:39.982994,0 days 00:01:38.032006,289.0,3.0,4.0,0.0,constant,matern0.5,,0.0992588995083845,20.0,0.0,10.0,,,COMPLETE,
216.0,k2204_PPV,1.0,50.0,0.0005616585549432,2022-10-11 15:53:39.983607,2022-10-11 15:54:56.275817,0 days 00:01:16.292210,535.0,2.0,3.0,0.0,linear,matern0.5,,0.0032557353651319,25.0,0.0,25.0,,,COMPLETE,
216.0,k2204_PPV,1.0,51.0,0.0003788502217503,2022-10-11 15:54:56.276401,2022-10-11 15:56:14.353981,0 days 00:01:18.077580,87.0,3.0,3.0,0.0,linear,matern0.5,,0.0718567834353658,34.0,0.0,17.0,,,COMPLETE,
216.0,k2204_PPV,1.0,52.0,4.280538462353434e-06,2022-10-11 15:56:14.354574,2022-10-11 16:01:20.485724,0 days 00:05:06.131150,143.0,2.0,3.0,0.0,linear,matern0.5,,0.0926154938404445,37.0,0.0,114.0,,,COMPLETE,
216.0,k2204_PPV,1.0,53.0,0.0004738394491141,2022-10-11 16:01:20.486346,2022-10-11 16:02:31.417610,0 days 00:01:10.931264,150.0,2.0,3.0,0.0,linear,matern0.5,,0.0629132721191649,37.0,0.0,18.0,,,COMPLETE,
216.0,k2204_PPV,1.0,54.0,0.0002585603615443,2022-10-11 16:02:31.418166,2022-10-11 16:03:54.805992,0 days 00:01:23.387826,192.0,2.0,3.0,0.0,linear,matern0.5,,0.09846751223049,31.0,0.0,26.0,,,COMPLETE,
216.0,k2204_PPV,1.0,55.0,0.0005483236236614,2022-10-11 16:03:54.806593,2022-10-11 16:04:34.244946,0 days 00:00:39.438353,64.0,2.0,3.0,0.0,linear,matern0.5,,0.0214730915953198,38.0,0.0,6.0,,,COMPLETE,
216.0,k2204_PPV,1.0,56.0,0.0003302285258541,2022-10-11 16:04:34.245547,2022-10-11 16:05:40.975655,0 days 00:01:06.730108,237.0,2.0,3.0,0.0,linear,matern1.5,,0.0317492036861747,34.0,0.0,20.0,,,COMPLETE,
216.0,k2204_PPV,1.0,57.0,5.248965464943467e-06,2022-10-11 16:05:40.976264,2022-10-11 16:12:17.387267,0 days 00:06:36.411003,337.0,2.0,3.0,0.0,linear,matern0.5,,0.0518239667523546,32.0,1.0,164.0,,,COMPLETE,
216.0,k2204_PPV,1.0,58.0,0.0002773690666799,2022-10-11 16:12:17.387892,2022-10-11 16:13:34.690214,0 days 00:01:17.302322,389.0,2.0,3.0,0.0,linear,matern0.5,,0.0495667378310169,29.0,1.0,22.0,,,COMPLETE,
216.0,k2204_PPV,1.0,59.0,2.935678912763251e-05,2022-10-11 16:13:34.690802,2022-10-11 16:16:33.231669,0 days 00:02:58.540867,314.0,2.0,2.0,0.0,linear,matern0.5,,0.0754833157164823,105.0,1.0,87.0,,,COMPLETE,
216.0,k2204_PPV,1.0,60.0,0.0011985828605247,2022-10-11 16:16:33.232252,2022-10-11 16:19:05.063346,0 days 00:02:31.831094,315.0,2.0,3.0,0.0,constant,spectral,4.0,0.077632626487712,33.0,1.0,20.0,,,COMPLETE,
216.0,k2204_PPV,1.0,61.0,0.0001703572397673,2022-10-11 16:19:05.063965,2022-10-11 16:21:39.930297,0 days 00:02:34.866332,336.0,2.0,2.0,0.0,linear,matern0.5,,0.0571735713400099,105.0,1.0,74.0,,,COMPLETE,
216.0,k2204_PPV,1.0,62.0,1.9571172970245243e-05,2022-10-11 16:21:39.930898,2022-10-11 16:26:21.775808,0 days 00:04:41.844910,437.0,2.0,2.0,0.0,linear,matern0.5,,0.0429408213548129,63.0,1.0,151.0,,,COMPLETE,
216.0,k2204_PPV,1.0,63.0,4.213771262584487e-05,2022-10-11 16:26:21.776400,2022-10-11 16:29:14.088639,0 days 00:02:52.312239,466.0,2.0,2.0,0.0,linear,matern0.5,,0.0809016577002255,61.0,1.0,86.0,,,COMPLETE,
216.0,k2204_PPV,1.0,64.0,0.0003705519993673,2022-10-11 16:29:14.089232,2022-10-11 16:30:41.403886,0 days 00:01:27.314654,425.0,2.0,2.0,0.0,linear,matern0.5,,0.0377234028251491,57.0,1.0,37.0,,,COMPLETE,
216.0,k2204_PPV,1.0,65.0,0.000354283980414,2022-10-11 16:30:41.404455,2022-10-11 16:31:43.927229,0 days 00:01:02.522774,264.0,2.0,2.0,0.0,linear,matern0.5,,0.0617776783548188,85.0,1.0,22.0,,,COMPLETE,
216.0,k2204_PPV,1.0,66.0,0.0005399750225478,2022-10-11 16:31:43.927803,2022-10-11 16:32:57.334551,0 days 00:01:13.406748,374.0,2.0,2.0,0.0,linear,matern0.5,,0.0018392853328647,103.0,1.0,29.0,,,COMPLETE,
216.0,k2204_PPV,1.0,67.0,0.0005962853829259,2022-10-11 16:32:57.335122,2022-10-11 16:34:22.511549,0 days 00:01:25.176427,426.0,4.0,3.0,0.0,linear,matern0.5,,0.0808624630060188,32.0,1.0,22.0,,,COMPLETE,
216.0,k2204_PPV,1.0,68.0,0.0004180994619673,2022-10-11 16:34:22.512155,2022-10-11 16:35:38.320584,0 days 00:01:15.808429,353.0,3.0,2.0,0.0,linear,rbf,,0.0046746710300415,121.0,1.0,32.0,,,COMPLETE,
216.0,k2204_PPV,1.0,69.0,0.0005776185498689,2022-10-11 16:35:38.321158,2022-10-11 16:36:08.758196,0 days 00:00:30.437038,533.0,2.0,3.0,0.0,linear,matern0.5,,0.0263966571987483,32.0,1.0,2.0,,,COMPLETE,
