dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,r1_08_PPV,4.0,56.0,2.7333359718322754,2022-11-07 06:31:54.476717,2022-11-07 06:36:39.923677,0 days 00:04:45.446960,322.0,2.0,2.0,0.0,linear,spectral,4.0,0.0073878484525383,145.0,True,1.0,"[-0.7122982740402222, -1.4130479097366333, -1.7764922380447388, 1.114505410194397, 5.486080169677734, 4.1754279136657715]","[2.7333359718322754, 301191456.0, 273012.90625, 2.873619794845581, 1489063808.0, 2.9133787155151367]",COMPLETE,,,,,
44027.0,r1_08_PPV,4.0,57.0,0.0006415147217921,2022-11-07 06:36:39.924428,2022-11-07 06:37:41.377180,0 days 00:01:01.452752,331.0,4.0,2.0,0.0,linear,rbf,,0.000423188652389,57.0,True,10.0,"[0.7756078243255615, 0.7554922699928284, 0.7430148720741272, 0.73839271068573, 0.7377051115036011, 0.7374458312988281, 0.7368316054344177, 0.7360368371009827, 0.7353668212890625, 0.7349543571472168, 0.7347608804702759, 0.7346729040145874, 0.7345874309539795, 0.7344514727592468, 0.7342563271522522]","[0.027011385187506676, 0.009958065114915371, 0.003927975427359343, 0.003342396579682827, 0.003265237435698509, 0.0026517543010413647, 0.0017714647110551596, 0.0010568127036094666, 0.0006967964000068605, 0.0006415147217921913, 0.0007340355077758431, 0.0008307071984745562, 0.000857437786180526, 0.0008015139610506594, 0.000686924671754241]",COMPLETE,,,,,
44027.0,r1_08_PPV,4.0,58.0,303.4562683105469,2022-11-07 06:37:41.377896,2022-11-07 06:48:07.795561,0 days 00:10:26.417665,311.0,3.0,2.0,0.0,constant,spectral,5.0,0.0091268298076974,189.0,True,9.0,"[-0.572651743888855, 0.623522937297821, 1.524286150932312, 2.427432060241699, 0.28823602199554443, 2.4007620811462402, 0.89121413230896, 0.888683021068573, 6.101590156555176, 0.7309264540672302, 1.1366961002349854, 2.1861610412597656, 1.4842357635498047, 1.2599458694458008]","[46834.29296875, 43717384.0, 3106735.75, 47062.328125, 3195792.0, 2877.06396484375, 32848.37890625, 1927.98876953125, 303.4562683105469, 7552.00634765625, 14065.6171875, 1129.0718994140625, 173275.78125, 153472.703125]",COMPLETE,,,,,
44027.0,r1_08_PPV,4.0,59.0,0.0006179788033477,2022-11-07 06:48:07.796297,2022-11-07 06:48:59.149823,0 days 00:00:51.353526,106.0,5.0,2.0,0.0,constant,matern0.5,,0.0050398856235235,196.0,True,,,,PRUNED,0.0006179788033477,,,,
44027.0,r1_08_PPV,4.0,60.0,2.00513459276408e-05,2022-11-07 06:48:59.150191,2022-11-07 06:49:37.092445,0 days 00:00:37.942254,431.0,4.0,2.0,0.0,constant,matern1.5,,0.0002353590287219,279.0,True,2.0,"[0.7358602285385132, 0.7357958555221558, 0.7356947064399719, 0.7356085181236267, 0.735526978969574, 0.7354410886764526, 0.735355019569397]","[4.43388671556022e-05, 2.0051345927640796e-05, 2.190403756685555e-05, 2.6495854399399832e-05, 2.9579561669379473e-05, 2.5664405256975442e-05, 2.0832292648265138e-05]",COMPLETE,2.6495854399399832e-05,,,,
44027.0,r1_08_PPV,4.0,61.0,0.0020907060243189,2022-11-07 06:49:37.093207,2022-11-07 06:50:14.069802,0 days 00:00:36.976595,561.0,4.0,2.0,0.0,linear,matern0.5,,0.0001085544856019,186.0,False,,,,PRUNED,0.0020907060243189,,,,
44027.0,r1_08_PPV,4.0,62.0,1320.6470947265625,2022-11-07 06:50:14.070164,2022-11-07 06:53:39.616941,0 days 00:03:25.546777,425.0,5.0,2.0,0.0,constant,spectral,2.0,0.0001326794831241,289.0,True,,,,PRUNED,1320.6470947265625,,,,
44027.0,r1_08_PPV,4.0,63.0,0.0005633238470181,2022-11-07 06:53:39.617299,2022-11-07 06:54:11.605747,0 days 00:00:31.988448,294.0,3.0,2.0,0.0,constant,matern1.5,,0.0009717744089433,99.0,False,,,,PRUNED,0.0005633238470181,,,,
44027.0,r1_08_PPV,4.0,64.0,1.2983900887775237e-05,2022-11-07 06:54:11.606135,2022-11-07 06:57:22.159170,0 days 00:03:10.553035,522.0,5.0,2.0,0.0,constant,rbf,,0.0035664743813382,223.0,True,51.0,"[0.7358525395393372, 0.7369697093963623, 0.7376146912574768, 0.7323081493377686, 0.7311651110649109, 0.7298350930213928, 0.7283244729042053, 0.7273324131965637, 0.7257788181304932, 0.7243131399154663, 0.7231371402740479, 0.7217971682548523, 0.7203952074050903, 0.7191169261932373, 0.7178588509559631, 0.7165288329124451, 0.7151728272438049, 0.7138540148735046, 0.7125628590583801, 0.7112599015235901, 0.7099350690841675, 0.7086087465286255, 0.7072959542274475, 0.7059904336929321, 0.704679548740387, 0.7033554911613464, 0.7020284533500671, 0.7007079720497131, 0.6993918418884277, 0.6980717182159424, 0.696744978427887, 0.6954184770584106, 0.6940932273864746, 0.6927670836448669, 0.6914399266242981, 0.6901102662086487, 0.6887789368629456, 0.6874465942382812, 0.6861125230789185, 0.6847784519195557, 0.6834419965744019, 0.6821038126945496, 0.680764377117157, 0.6794248223304749, 0.6780837774276733, 0.6767406463623047, 0.6753951907157898, 0.674048662185669, 0.6727023720741272, 0.6713546514511108, 0.6700031161308289, 0.6686508059501648, 0.6672995090484619, 0.6659450531005859, 0.6645878553390503, 0.6632293462753296]","[0.0033748766873031855, 0.005927078425884247, 0.00046964024659246206, 0.0006727983127348125, 0.0005880860844627023, 0.00032557095983065665, 0.0007325876504182816, 0.0003462797321844846, 0.0001161322943517007, 0.0002824182447511703, 0.00022457361046690494, 8.509751205565408e-05, 0.00011653798719635233, 0.00017757088062353432, 0.00014236857532523572, 7.424887007800862e-05, 5.6605545978527516e-05, 7.718502456555143e-05, 8.360116044059396e-05, 6.275076884776354e-05, 4.159766103839502e-05, 4.000159242423251e-05, 4.980020457878709e-05, 5.454355778056197e-05, 4.395771975396201e-05, 3.0532333767041564e-05, 2.7779376978287473e-05, 3.227919660275802e-05, 3.277436553617008e-05, 2.7223599317949265e-05, 2.3079788661561906e-05, 2.2810674636275508e-05, 2.332192707399372e-05, 2.3504380806116387e-05, 2.227326694992371e-05, 2.1172207198105752e-05, 1.9587378119467758e-05, 1.8424496374791488e-05, 1.8768716472550295e-05, 1.785238964657765e-05, 1.6500422134413384e-05, 1.5388681276817806e-05, 1.6029245671234094e-05, 1.6529844288015738e-05, 1.6261210475931875e-05, 1.4938448657630943e-05, 1.3718335139856208e-05, 1.4758918041479774e-05, 1.5696838090661913e-05, 1.385422729072161e-05, 1.2983900887775235e-05, 1.5291299860109575e-05, 1.566193714097608e-05, 1.4698362065246329e-05, 1.36377911985619e-05, 1.4205833394953515e-05]",COMPLETE,,,,,
44027.0,r1_08_PPV,4.0,65.0,0.0051630432717502,2022-11-07 06:57:22.159900,2022-11-07 06:57:51.844228,0 days 00:00:29.684328,159.0,3.0,2.0,0.0,linear,matern0.5,,0.0009454004257792,12.0,True,,,,PRUNED,0.0051630432717502,,,,
44027.0,r1_08_PPV,4.0,66.0,0.0008641464519314,2022-11-07 06:57:51.844587,2022-11-07 06:59:03.503600,0 days 00:01:11.659013,518.0,4.0,2.0,0.0,linear,matern0.5,,0.0028006260449924,224.0,False,14.0,"[0.7718493342399597, 0.7489715218544006, 0.7460663318634033, 0.7375665903091431, 0.7422217130661011, 0.7399929165840149, 0.7348036766052246, 0.7323554158210754, 0.7310962080955505, 0.7305566072463989, 0.7295170426368713, 0.7282949686050415, 0.7269208431243896, 0.7255900502204895, 0.7244302034378052, 0.7234045267105103, 0.7223362326622009, 0.7213395833969116, 0.7203733921051025]","[0.02075839415192604, 0.014560329727828503, 0.004208042286336422, 0.01169208250939846, 0.009918474592268467, 0.004256017506122589, 0.002359432401135564, 0.0021293938625603914, 0.002869809279218316, 0.0027310685254633427, 0.002430739812552929, 0.0018086640629917383, 0.0012098589213564992, 0.0008641464519314468, 0.0009751462494023144, 0.0009347242303192616, 0.0011153356172144413, 0.0012192459544166923, 0.0012050954392179847]",COMPLETE,,,,,
44027.0,r1_08_PPV,4.0,67.0,1.8902421288657933e-05,2022-11-07 06:59:03.504332,2022-11-07 07:00:07.153172,0 days 00:01:03.648840,290.0,3.0,2.0,0.0,constant,matern1.5,,0.0004833500359902,274.0,True,10.0,"[0.7359248399734497, 0.7358006834983826, 0.7355769872665405, 0.7354356646537781, 0.735253632068634, 0.735063910484314, 0.7348729372024536, 0.7347059845924377, 0.7345418334007263, 0.7343603372573853, 0.7341743111610413, 0.7339969873428345, 0.7338353991508484, 0.7336575388908386, 0.7334790229797363]","[9.994634456234053e-05, 2.7467483960208483e-05, 6.74342445563525e-05, 5.697894812328741e-05, 2.7499994757818058e-05, 2.0122151909163222e-05, 3.4592081647133455e-05, 4.08385822083801e-05, 3.1532363209407777e-05, 1.8902421288657933e-05, 1.9575712940422818e-05, 3.0442759452853352e-05, 3.5891967854695395e-05, 2.7465443054097705e-05, 1.9740769857889973e-05]",COMPLETE,5.697894812328741e-05,1.8902421288657933e-05,,,
44027.0,r1_08_PPV,4.0,68.0,0.0002841941895894,2022-11-07 07:00:07.153906,2022-11-07 07:00:53.356489,0 days 00:00:46.202583,538.0,2.0,2.0,0.0,linear,matern1.5,,0.0112796913330652,77.0,True,5.0,"[0.7359885573387146, 0.7378653883934021, 0.7292128801345825, 0.7264211177825928, 0.7207763195037842, 0.7156832814216614, 0.7115734219551086, 0.7078073024749756, 0.7037785053253174, 0.6994612216949463]","[0.008541880175471306, 0.00196645874530077, 0.003723441157490015, 0.0015952492831274867, 0.0002841941895894706, 0.00030083145247772336, 0.0007504087989218533, 0.0009322170517407358, 0.0007304345490410924, 0.0003807772882282734]",COMPLETE,,,,,
