dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,37.0,0.0004718290729215,2022-10-24 18:37:56.862579,2022-10-24 18:38:33.168350,0 days 00:00:36.305771,1.0,2.0,256.0,0.0163138375526088,74.0,12.0,matern0.5,24.0,COMPLETE,
216.0,k2204_PPV,1.0,38.0,0.0003993685968453,2022-10-24 18:38:33.168891,2022-10-24 18:41:54.395991,0 days 00:03:21.227100,2.0,4.0,256.0,0.0065279281205998,361.0,13.0,rbf,56.0,COMPLETE,
216.0,k2204_PPV,1.0,39.0,0.0010855020373128,2022-10-24 18:41:54.396548,2022-10-24 18:42:43.543080,0 days 00:00:49.146532,1.0,3.0,1024.0,0.0088020585676192,83.0,14.0,matern0.5,79.0,COMPLETE,
216.0,k2204_PPV,1.0,40.0,0.0004628476017387,2022-10-24 18:42:43.543625,2022-10-24 18:50:16.612809,0 days 00:07:33.069184,3.0,1.0,256.0,0.0037933424879544,891.0,5.0,rbf,83.0,COMPLETE,
216.0,k2204_PPV,1.0,41.0,0.0002556139515945,2022-10-24 18:50:16.613342,2022-10-24 18:52:14.361163,0 days 00:01:57.747821,1.0,2.0,256.0,0.0052800467918982,98.0,15.0,matern0.5,87.0,COMPLETE,
216.0,k2204_PPV,1.0,42.0,0.0003985728981206,2022-10-24 18:52:14.361720,2022-10-24 18:54:28.655574,0 days 00:02:14.293854,1.0,2.0,256.0,0.0028955322713226,62.0,15.0,matern0.5,102.0,COMPLETE,
216.0,k2204_PPV,1.0,43.0,0.0227550421841442,2022-10-24 18:54:28.656090,2022-10-24 19:00:45.097431,0 days 00:06:16.441341,1.0,2.0,256.0,0.000202480457817,55.0,13.0,matern0.5,300.0,COMPLETE,
216.0,k2204_PPV,1.0,44.0,0.000273727448075,2022-10-24 19:00:45.098013,2022-10-24 19:01:45.522849,0 days 00:01:00.424836,1.0,2.0,256.0,0.0123432583367036,115.0,15.0,matern0.5,41.0,COMPLETE,
216.0,k2204_PPV,1.0,45.0,0.0007627493469044,2022-10-24 19:01:45.523393,2022-10-24 19:02:41.699862,0 days 00:00:56.176469,1.0,2.0,512.0,0.011338299525858,123.0,15.0,matern0.5,65.0,COMPLETE,
216.0,k2204_PPV,1.0,46.0,0.0003186046669725,2022-10-24 19:02:41.700396,2022-10-24 19:04:00.922151,0 days 00:01:19.221755,2.0,2.0,256.0,0.0188639952540161,170.0,14.0,matern1.5,34.0,COMPLETE,
216.0,k2204_PPV,1.0,47.0,0.0014492342015728,2022-10-24 19:04:00.922712,2022-10-24 19:05:52.149610,0 days 00:01:51.226898,5.0,2.0,256.0,0.0391159364756067,104.0,15.0,matern0.5,26.0,COMPLETE,
216.0,k2204_PPV,1.0,48.0,0.0657274164259433,2022-10-24 19:05:52.150201,2022-10-24 19:06:16.053393,0 days 00:00:23.903192,4.0,1.0,256.0,0.0133131940744535,130.0,2.0,rbf,4.0,COMPLETE,
216.0,k2204_PPV,1.0,49.0,0.0001927041230374,2022-10-24 19:06:16.053958,2022-10-24 19:08:18.371615,0 days 00:02:02.317657,1.0,2.0,256.0,0.0059515772746943,219.0,14.0,matern0.5,82.0,COMPLETE,
216.0,k2204_PPV,1.0,50.0,0.0008283193747047,2022-10-24 19:08:18.372132,2022-10-24 19:10:04.885047,0 days 00:01:46.512915,1.0,2.0,512.0,0.0011554451715447,246.0,4.0,matern1.5,120.0,COMPLETE,
216.0,k2204_PPV,1.0,51.0,0.0001260296667169,2022-10-24 19:10:04.885573,2022-10-24 19:12:44.640284,0 days 00:02:39.754711,1.0,2.0,256.0,0.0059332332000984,307.0,14.0,matern0.5,97.0,COMPLETE,
