dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_fixed_params
216.0,r1_08_BPV,1.0,62.0,0.0005820772494189,2022-10-27 15:29:22.808637,2022-10-27 15:36:41.938863,0 days 00:07:19.130226,3.0,4.0,2048.0,0.0151970730842937,284.0,4.0,rbf,,PRUNED,0.0005896561779081,0.0005820772494189,,,
216.0,r1_08_BPV,1.0,63.0,0.0007286148029379,2022-10-27 15:36:41.939262,2022-10-27 15:39:34.236940,0 days 00:02:52.297678,3.0,2.0,2048.0,0.0031549569340416,200.0,10.0,matern1.5,,PRUNED,0.0007286148029379,,,,
216.0,r1_08_BPV,1.0,64.0,0.0007957519846968,2022-10-27 15:39:34.237372,2022-10-27 15:44:37.949471,0 days 00:05:03.712099,2.0,1.0,1024.0,0.0003798242332364,238.0,12.0,rbf,,PRUNED,0.0007957519846968,,,,
216.0,r1_08_BPV,1.0,65.0,0.0005906139267608,2022-10-27 15:44:37.949974,2022-10-27 15:55:09.112018,0 days 00:10:31.162044,3.0,3.0,1024.0,0.0084654106983454,342.0,6.0,rbf,,PRUNED,0.0005906139267608,,,,
216.0,r1_08_BPV,1.0,66.0,0.0006037724670022,2022-10-27 15:55:09.112512,2022-10-27 16:01:05.585424,0 days 00:05:56.472912,2.0,3.0,2048.0,0.0288834416627621,339.0,5.0,matern0.5,,PRUNED,0.0005922398995608,0.0006037724670022,,,
216.0,r1_08_BPV,1.0,67.0,0.0005749068805016,2022-10-27 16:01:05.585813,2022-10-27 16:06:19.792915,0 days 00:05:14.207102,3.0,1.0,1024.0,0.0048456357575534,170.0,3.0,rbf,,PRUNED,0.0005825457046739,0.0005749068805016,,,
216.0,r1_08_BPV,1.0,68.0,0.0005718367756344,2022-10-27 16:06:19.793406,2022-10-27 16:08:15.949158,0 days 00:01:56.155752,1.0,2.0,2048.0,0.0406641800069564,125.0,2.0,rbf,5.0,COMPLETE,0.0005888228770345,,,,
216.0,r1_08_BPV,1.0,69.0,0.0197888538241386,2022-10-27 16:08:15.949760,2022-10-27 16:15:00.204457,0 days 00:06:44.254697,4.0,2.0,2048.0,0.0003988768037366,107.0,9.0,matern0.5,,PRUNED,0.0197888538241386,,,,
216.0,r1_08_BPV,1.0,70.0,0.0006318865343928,2022-10-27 16:15:00.204865,2022-10-27 16:18:38.967922,0 days 00:03:38.763057,3.0,1.0,512.0,0.0708877260060082,50.0,4.0,matern0.5,,PRUNED,0.0006318865343928,,,,
216.0,r1_08_BPV,1.0,71.0,0.0017635782714933,2022-10-27 16:18:38.968445,2022-10-27 16:26:21.205876,0 days 00:07:42.237431,2.0,1.0,512.0,0.001795363332702,194.0,2.0,matern1.5,,PRUNED,0.0017635782714933,,,,
216.0,r1_08_BPV,1.0,72.0,0.0010558097856119,2022-10-27 16:26:21.206430,2022-10-27 16:29:47.512692,0 days 00:03:26.306262,4.0,2.0,1024.0,0.0004881962503983,228.0,6.0,rbf,,PRUNED,0.0010558097856119,,,,
216.0,r1_08_BPV,1.0,73.0,0.0005843645776621,2022-10-27 16:29:47.513135,2022-10-27 16:31:41.747899,0 days 00:01:54.234764,1.0,2.0,2048.0,0.050488555955346,100.0,2.0,rbf,,PRUNED,0.0005709112156182,0.0005843645776621,,,
216.0,r1_08_BPV,1.0,74.0,0.0218456014990806,2022-10-27 16:31:41.748264,2022-10-27 16:32:28.940183,0 days 00:00:47.191919,1.0,2.0,2048.0,0.0001275956594926,138.0,2.0,rbf,,PRUNED,0.0218456014990806,,,,
216.0,r1_08_BPV,1.0,75.0,0.0196770597249269,2022-10-27 16:32:28.940587,2022-10-27 16:37:03.801884,0 days 00:04:34.861297,2.0,2.0,512.0,0.0003753644142842,103.0,3.0,matern0.5,1.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,76.0,0.0005645691999234,2022-10-27 16:37:03.802523,2022-10-27 16:48:58.572311,0 days 00:11:54.769788,2.0,4.0,512.0,0.0021172876499744,62.0,8.0,matern1.5,10.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,77.0,0.00058371812338,2022-10-27 16:48:58.572903,2022-10-27 16:50:56.115104,0 days 00:01:57.542201,1.0,2.0,2048.0,0.023664297117123,116.0,3.0,rbf,,PRUNED,0.0005812880117446,0.00058371812338,,,
216.0,r1_08_BPV,1.0,78.0,0.0006729548913426,2022-10-27 16:50:56.115472,2022-10-27 16:51:43.906070,0 days 00:00:47.790598,1.0,3.0,2048.0,0.0384174426410974,76.0,4.0,rbf,,PRUNED,0.0006729548913426,,,,
216.0,r1_08_BPV,1.0,79.0,0.0006300513050518,2022-10-27 16:51:43.906443,2022-10-27 16:52:46.213095,0 days 00:01:02.306652,2.0,1.0,2048.0,0.0143931352252929,188.0,2.0,rbf,,PRUNED,0.0006300513050518,,,,
216.0,r1_08_BPV,1.0,80.0,0.0006265178089961,2022-10-27 16:52:46.213528,2022-10-27 16:53:45.749389,0 days 00:00:59.535861,1.0,4.0,2048.0,0.0415314855540607,157.0,11.0,rbf,,PRUNED,0.0006265178089961,,,,
216.0,r1_08_BPV,1.0,81.0,0.0006258838111534,2022-10-27 16:53:45.749807,2022-10-27 17:00:52.510379,0 days 00:07:06.760572,3.0,3.0,512.0,0.0073319951230141,260.0,15.0,matern0.5,,PRUNED,0.0006258838111534,,,,
216.0,r1_08_BPV,1.0,82.0,0.0005620206356979,2022-10-27 17:00:52.510943,2022-10-27 17:16:20.301123,0 days 00:15:27.790180,3.0,2.0,1024.0,0.0043559666510203,280.0,15.0,rbf,10.0,COMPLETE,0.0005620206356979,,,,
