dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,32.0,2.2254398572840728e-06,2022-11-05 04:50:08.689135,2022-11-05 05:01:02.286812,0 days 00:10:53.597677,1.0,1.0,512.0,0.0057519089984362,132.0,4.0,rbf,18.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,33.0,1.536663512524683e-05,2022-11-05 05:01:02.287409,2022-11-05 05:15:52.645278,0 days 00:14:50.357869,4.0,4.0,512.0,0.0140121660040171,478.0,6.0,rbf,,PRUNED,1.536663512524683e-05,,,
44027.0,r1_08_PPV,1.0,34.0,2.7423839128459804e-06,2022-11-05 05:15:52.645850,2022-11-05 05:25:36.771158,0 days 00:09:44.125308,1.0,1.0,1024.0,0.0103812963035672,432.0,11.0,matern0.5,15.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,35.0,1.424919901182875e-05,2022-11-05 05:25:36.771756,2022-11-05 05:31:52.501996,0 days 00:06:15.730240,3.0,1.0,1024.0,0.025093081360995,160.0,6.0,matern1.5,,PRUNED,1.424919901182875e-05,,,
44027.0,r1_08_PPV,1.0,36.0,3.723588815773837e-05,2022-11-05 05:31:52.502420,2022-11-05 05:34:17.792721,0 days 00:02:25.290301,1.0,2.0,512.0,0.0010025642102117,365.0,3.0,rbf,,PRUNED,3.723588815773837e-05,,,
44027.0,r1_08_PPV,1.0,37.0,0.0579216592013835,2022-11-05 05:34:17.793196,2022-11-05 05:35:59.759077,0 days 00:01:41.965881,2.0,3.0,1024.0,0.0002668820315837,50.0,9.0,rbf,,PRUNED,0.0579216592013835,,,
44027.0,r1_08_PPV,1.0,38.0,2.7113533178635407e-06,2022-11-05 05:35:59.759539,2022-11-05 05:55:33.170199,0 days 00:19:33.410660,3.0,4.0,1024.0,0.0056611846801667,150.0,12.0,rbf,18.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,39.0,3.4286242680536816e-06,2022-11-05 05:55:33.170801,2022-11-05 06:04:26.563237,0 days 00:08:53.392436,2.0,4.0,1024.0,0.0045558706952473,89.0,12.0,rbf,13.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,40.0,2.2523932784679342e-05,2022-11-05 06:04:26.563836,2022-11-05 06:19:41.522464,0 days 00:15:14.958628,4.0,4.0,512.0,0.0036588842647399,571.0,4.0,matern0.5,,PRUNED,2.2523932784679342e-05,,,
44027.0,r1_08_PPV,1.0,41.0,2.860318818420637e-05,2022-11-05 06:19:41.523032,2022-11-05 06:22:18.240144,0 days 00:02:36.717112,1.0,3.0,512.0,0.009593697502031,445.0,2.0,rbf,,PRUNED,2.860318818420637e-05,,,
44027.0,r1_08_PPV,1.0,42.0,0.0598782189190387,2022-11-05 06:22:18.240655,2022-11-05 06:42:43.587762,0 days 00:20:25.347107,4.0,1.0,512.0,0.0004355096733289,417.0,8.0,matern0.5,,PRUNED,0.0598782189190387,,,
44027.0,r1_08_PPV,1.0,43.0,6.785739515180467e-06,2022-11-05 06:42:43.588291,2022-11-05 06:52:41.352440,0 days 00:09:57.764149,1.0,3.0,512.0,0.0055163421318817,790.0,2.0,rbf,,PRUNED,3.943724095734069e-06,6.785739515180467e-06,,
44027.0,r1_08_PPV,1.0,44.0,5.176597824174678e-06,2022-11-05 06:52:41.352932,2022-11-05 07:06:55.825407,0 days 00:14:14.472475,3.0,1.0,2048.0,0.0368150893961144,161.0,14.0,matern1.5,19.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,45.0,5.541154678212479e-06,2022-11-05 07:06:55.826022,2022-11-05 07:11:16.571867,0 days 00:04:20.745845,1.0,4.0,2048.0,0.0134927121436785,785.0,2.0,rbf,,PRUNED,5.541154678212479e-06,,,
44027.0,r1_08_PPV,1.0,46.0,1.3773309319731195e-06,2022-11-05 07:11:16.572273,2022-11-05 07:25:16.344827,0 days 00:13:59.772554,1.0,4.0,512.0,0.0027065673322803,288.0,3.0,rbf,19.0,COMPLETE,4.326583166402997e-06,1.7790943047657493e-06,,
44027.0,r1_08_PPV,1.0,47.0,3.871149601764046e-06,2022-11-05 07:25:16.345445,2022-11-05 07:30:37.386670,0 days 00:05:21.041225,1.0,3.0,512.0,0.0164106790334297,123.0,4.0,matern0.5,5.0,COMPLETE,,,,
