dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state,system_attrs_fixed_params
44027.0,year,3.0,17.0,0.369133,2022-11-06 23:20:42.588760,2022-11-06 23:20:44.600277,0 days 00:00:02.011517,40.0,0.028464463237292906,0.23029057015506102,0.5618016742854125,0.03705820387806467,7.26224296147624e-05,2.186880614918852e-05,48.526005679052965,,PRUNED,
44027.0,year,3.0,18.0,0.374696,2022-11-06 23:20:44.600842,2022-11-06 23:20:46.592445,0 days 00:00:01.991603,18.0,0.01224155944858397,0.3001198157487855,0.6517108689825285,0.20104604621548097,1.1733780385441758e-07,6.00155019836186e-07,49.01145924078573,,PRUNED,
44027.0,year,3.0,19.0,0.361338,2022-11-06 23:20:46.593080,2022-11-06 23:20:48.773057,0 days 00:00:02.179977,30.0,0.051319171839854405,0.4208049911220042,0.7491025595903265,0.8279918756788799,0.010456567437649455,2.1857008889061317e-07,14.74928358680261,,PRUNED,
44027.0,year,3.0,20.0,0.378301,2022-11-06 23:20:48.773623,2022-11-06 23:20:50.465449,0 days 00:00:01.691826,47.0,0.0017447763678533933,0.34306392310324924,0.5262417759100823,2.2458512863091697,0.18867364979080578,2.8150310164924157e-05,20.436398072129673,,PRUNED,
44027.0,year,3.0,21.0,0.37655,2022-11-06 23:20:50.466002,2022-11-06 23:20:53.581387,0 days 00:00:03.115385,43.0,0.006817424774397465,0.5227861110436186,0.5012644785264392,0.026984222790251557,3.021522649757631e-05,0.006928740047078845,64.07281758695832,,PRUNED,
44027.0,year,3.0,22.0,0.377033,2022-11-06 23:20:53.581949,2022-11-06 23:20:56.169780,0 days 00:00:02.587831,41.0,0.005418021694354645,0.4407316037167202,0.5327772884934985,0.026322862195631305,0.0005384855292195397,0.03334040712432653,42.87652057364629,,PRUNED,
44027.0,year,3.0,23.0,0.375016,2022-11-06 23:20:56.170315,2022-11-06 23:20:58.376356,0 days 00:00:02.206041,47.0,0.011321751538974472,0.39135121479843027,0.4674580351028246,0.07803391699219893,1.27845951588539e-07,0.6383444771326309,77.3054014565483,,PRUNED,
44027.0,year,3.0,24.0,0.377822,2022-11-06 23:20:58.376969,2022-11-06 23:21:01.304842,0 days 00:00:02.927873,49.0,0.003124249991421961,0.510950305272072,0.5878764466170877,0.020219932632908756,3.0368661628509403e-06,0.006756128601512575,42.453295370775926,,PRUNED,
44027.0,year,3.0,25.0,0.36815,2022-11-06 23:21:01.306804,2022-11-06 23:21:02.687500,0 days 00:00:01.380696,39.0,0.03150886788969203,0.46050673514642215,0.6427032292251114,5.98362544187294,5.199182849112599e-07,2.1537620690120466e-05,63.98446100772841,,PRUNED,
44027.0,year,3.0,26.0,0.358311,2022-11-06 23:21:02.688044,2022-11-06 23:21:05.047953,0 days 00:00:02.359909,45.0,0.060106398632734814,0.598801557859666,0.5345632301994135,0.4554751183329386,4.442493377481522e-08,0.002247736350815557,96.60600292340965,,PRUNED,
44027.0,year,3.0,27.0,0.37604,2022-11-06 23:21:05.048503,2022-11-06 23:21:07.726085,0 days 00:00:02.677582,32.0,0.008329516207631272,0.37107426677504535,0.7064068408584853,0.1503574770090293,0.002352816601397472,5.312558703603532e-05,30.634093705212525,,PRUNED,
44027.0,year,3.0,28.0,0.370773,2022-11-06 23:21:07.726649,2022-11-06 23:21:09.903632,0 days 00:00:02.176983,43.0,0.023658585140404,0.32540170588324313,0.42055402816650056,0.05267842996105573,1.3137318674130529e-05,9.43720068973885e-08,58.87222566784801,,PRUNED,
44027.0,year,3.0,29.0,0.374156,2022-11-06 23:21:09.904122,2022-11-06 23:21:11.320959,0 days 00:00:01.416837,5.0,0.013854552439121936,0.3410791082427143,0.5813918061796481,0.011851825609071406,1.766903637557428e-06,0.0959973653802944,7.776067506888457,,PRUNED,
44027.0,year,3.0,30.0,0.098473,2022-11-06 23:21:11.321483,2022-11-06 23:47:01.805282,0 days 00:25:50.483799,47.0,0.06231709361649848,0.5462681137414573,0.6190232644669377,0.01056863702919397,0.10789218631510222,7.058869295778009e-05,21.656764206823453,,PRUNED,
44027.0,year,3.0,31.0,0.009570877218025296,2022-11-06 23:47:01.806398,2022-11-07 00:07:56.931939,0 days 00:20:55.125541,50.0,0.09723487546849889,0.41408617969297445,0.7423070839434013,0.3910069580654086,0.00023243943324443536,3.124163038061151e-08,94.91626811238191,420.0,COMPLETE,
44027.0,year,3.0,32.0,0.009389718783075401,2022-11-07 00:07:56.935180,2022-11-07 00:39:06.763931,0 days 00:31:09.828751,50.0,0.06584330602223076,0.4214426257112536,0.7529247176210262,0.2713464834289519,0.00010359230851269925,1.0119081429199946e-08,76.05186622608369,576.0,COMPLETE,
44027.0,year,3.0,33.0,0.366207,2022-11-07 00:39:06.767262,2022-11-07 00:39:08.121588,0 days 00:00:01.354326,46.0,0.03712687758103237,0.27560378291636123,0.7645576846123406,3.087132187846968,0.001310665392673986,6.576308479724389e-08,37.18174896125086,,PRUNED,
44027.0,year,3.0,34.0,0.00925652021579398,2022-11-07 00:39:08.122135,2022-11-07 01:14:03.149864,0 days 00:34:55.027729,42.0,0.06905911063954727,0.4862459422827244,0.7983303858165052,1.6448632240150383,7.948929475578904e-06,7.829663085006199e-07,75.435603656441,742.0,COMPLETE,
44027.0,year,3.0,35.0,0.35714,2022-11-07 01:14:03.153696,2022-11-07 01:14:04.992449,0 days 00:00:01.838753,41.0,0.06367667684393966,0.47938910764751497,0.776295611514265,2.1042999028188816,0.00012687935009004638,1.0034598823752324e-08,75.36270576027623,,PRUNED,
44027.0,year,3.0,36.0,0.009352542192013171,2022-11-07 01:14:04.993065,2022-11-07 01:42:24.840317,0 days 00:28:19.847252,44.0,0.07270839480709458,0.4814235555632744,0.7077057215494504,1.1912365323409333,0.005917971490150185,5.905319133591214e-07,56.925106306609166,596.0,COMPLETE,
44027.0,year,3.0,37.0,0.009355746019450146,2022-11-07 01:42:24.844435,2022-11-07 02:11:31.669053,0 days 00:29:06.824618,44.0,0.07347874032735116,0.4875492950731221,0.6971106015700449,0.7586272963959982,1.5967190025604435e-05,9.414776054703396e-07,49.792089291066304,578.0,COMPLETE,
44027.0,year,3.0,38.0,0.362805,2022-11-07 02:11:31.672868,2022-11-07 02:11:33.750505,0 days 00:00:02.077637,38.0,0.047039275418815106,0.5455963770760591,0.6880001567344639,1.1479562202867237,0.006936885225426766,7.498410594506994e-07,52.78601559401567,,PRUNED,
44027.0,year,3.0,39.0,0.097582,2022-11-07 02:11:33.751038,2022-11-07 02:31:03.144471,0 days 00:19:29.393433,43.0,0.07315355759202753,0.4755560341710216,0.7141793201300969,0.7169806632710065,2.843854722509692e-05,5.457654004763404e-06,23.368840719920527,,PRUNED,
44027.0,year,3.0,40.0,0.365273,2022-11-07 02:31:03.145565,2022-11-07 02:31:05.005151,0 days 00:00:01.859586,34.0,0.039841660025179776,0.5774199346564509,0.6708609002198404,1.6246052961860369,4.723070899625893e-06,1.962911591345819e-06,37.51854052728926,,PRUNED,
44027.0,year,3.0,41.0,0.108164,2022-11-07 02:31:05.005709,2022-11-07 02:31:41.504001,0 days 00:00:36.498292,43.0,0.07430441455103147,0.43790108619200885,0.6428103734294266,4.209900430929173,2.5748868863135422e-05,2.727095360910073e-07,68.92049084897332,,PRUNED,
44027.0,year,3.0,42.0,0.362148,2022-11-07 02:31:41.504552,2022-11-07 02:31:44.124518,0 days 00:00:02.619966,48.0,0.04884797910722272,0.49998969411192995,0.6966169838674913,0.2626311264627283,0.0002831372790827779,1.0479796709881315e-05,55.46496535683913,,PRUNED,
44027.0,year,3.0,43.0,0.097211,2022-11-07 02:31:44.125101,2022-11-07 02:49:03.056794,0 days 00:17:18.931693,29.0,0.09766220054153316,0.5369115583304702,0.794832541082996,1.2297813491653424,5.047362807108397e-07,0.0002837331635826737,77.38983119482342,,PRUNED,
44027.0,year,3.0,44.0,0.096933,2022-11-07 02:49:03.057816,2022-11-07 03:12:16.954888,0 days 00:23:13.897072,41.0,0.0714106377194652,0.45729519148306924,0.7577361388583197,0.8981548998901798,0.0024319027369337116,6.215487212180174e-07,41.676752412886934,,PRUNED,
44027.0,year,3.0,45.0,0.358932,2022-11-07 03:12:16.955920,2022-11-07 03:12:18.780216,0 days 00:00:01.824296,45.0,0.05842447849452712,0.49315761633793015,0.7238804495421143,1.6966942141274541,5.352368146878409e-05,6.412070002516145e-08,79.73651410754272,,PRUNED,
44027.0,year,3.0,46.0,0.366353,2022-11-07 03:12:18.780798,2022-11-07 03:12:20.502658,0 days 00:00:01.721860,24.0,0.036721317952437514,0.4320495920547297,0.6663817234675863,2.5541457465213373,6.596668381209883e-06,4.0639746778848885e-06,5.905454143131028,,PRUNED,
44027.0,year,3.0,47.0,0.370886,2022-11-07 03:12:20.503208,2022-11-07 03:12:22.653019,0 days 00:00:02.149811,44.0,0.023402211114452478,0.39700123811259275,0.7365063147659389,0.5366476760938881,0.9335760068707423,0.0007851163171989662,11.68399321768899,,PRUNED,
44027.0,year,3.0,48.0,0.097506,2022-11-07 03:12:22.653581,2022-11-07 03:34:13.681264,0 days 00:21:51.027683,35.0,0.07600982226791855,0.5614862065461134,0.6969684325886772,0.2784526350346046,1.3288305935301156e-06,1.0112667791763741e-06,35.94213307520765,,PRUNED,
44027.0,year,3.0,49.0,0.360934,2022-11-07 03:34:13.682339,2022-11-07 03:34:15.106229,0 days 00:00:01.423890,20.0,0.05265272262685433,0.35950979992440324,0.7889381251260464,4.722328761879221,0.0072239458582928975,0.0001529985343883516,49.33741021278117,,PRUNED,
44027.0,year,3.0,50.0,0.097045,2022-11-07 03:34:15.106779,2022-11-07 03:55:17.155879,0 days 00:21:02.049100,38.0,0.07924810599380604,0.4677578559093448,0.7593449791762172,0.6382236251146852,1.0857141018824222e-05,1.0298946960732178e-08,69.00674035389589,,PRUNED,
44027.0,year,3.0,51.0,0.365082,2022-11-07 03:55:17.156993,2022-11-07 03:55:18.999205,0 days 00:00:01.842212,48.0,0.04039257536301964,0.30821182720031665,0.7251368300261003,1.336827822066759,0.5547540337010107,2.170671219631988e-07,85.92402797771229,,PRUNED,
44027.0,year,3.0,52.0,0.368638,2022-11-07 03:55:18.999755,2022-11-07 03:55:21.321702,0 days 00:00:02.321947,50.0,0.029944360288132122,0.5097553925549302,0.7714448032744601,0.9716693102031893,0.015935929293755435,4.3426933965914947e-07,61.15179508011886,,PRUNED,
44027.0,year,3.0,53.0,0.104465,2022-11-07 03:55:21.322247,2022-11-07 03:56:21.016529,0 days 00:00:59.694282,46.0,0.08269476580213865,0.32566805125316545,0.6546441152651334,1.7709958682129427,0.08561204326494949,1.1062664619726347e-07,26.240816140353825,,PRUNED,
44027.0,year,3.0,54.0,0.359822,2022-11-07 03:56:21.017553,2022-11-07 03:56:22.883206,0 days 00:00:01.865653,49.0,0.055753436664637876,0.3592543455338381,0.7417971601073442,0.7310767234453496,0.04201521185462557,3.0513582865246033e-06,52.656182653805004,,PRUNED,
44027.0,year,3.0,55.0,0.378512,2022-11-07 03:56:22.883754,2022-11-07 03:56:24.465210,0 days 00:00:01.581456,41.0,0.001133152349945,0.44218976702309615,0.6779891590168279,3.043283051976843,0.0008123631057843085,2.419065262650576e-08,84.86527207407995,,PRUNED,
44027.0,year,3.0,56.0,0.3636,2022-11-07 03:56:24.465808,2022-11-07 03:56:27.304732,0 days 00:00:02.838924,48.0,0.04471419642021728,0.5254480008654162,0.7989670618331203,0.11416442950014366,2.0595154797320285,1.1606500578786701e-05,46.975082533310506,,PRUNED,
44027.0,year,3.0,57.0,0.11454,2022-11-07 03:56:27.305304,2022-11-07 03:57:08.049751,0 days 00:00:40.744447,45.0,0.0685163897297287,0.37920931113916967,0.635142251702918,0.5465311085039788,4.677847638271531e-08,1.498349534705596e-06,67.54733653559161,,PRUNED,
44027.0,year,3.0,58.0,0.105227,2022-11-07 03:57:08.050349,2022-11-07 03:58:41.969809,0 days 00:01:33.919460,50.0,0.08605988151540274,0.4147781732830754,0.7134277132905734,9.045719872886435,0.00012460247180696388,3.794955650384048e-08,3.175760490884659,,PRUNED,
44027.0,year,3.0,59.0,0.367379,2022-11-07 03:58:41.970887,2022-11-07 03:58:43.921179,0 days 00:00:01.950292,42.0,0.03364871880226229,0.599055920964323,0.7764063906082938,2.0072033099185562,0.0036465395098368865,3.577905809413601e-07,97.38006320467335,,PRUNED,
44027.0,year,4.0,0.0,0.0093600088417022,2022-11-06 10:31:46.969331,2022-11-06 10:52:56.703026,0 days 00:21:09.733695,46.0,0.05518,0.59548,0.630578,1.465652,2.7e-08,2.57e-05,63.056,494.0,COMPLETE,"{'max_depth': 46, 'learning_rate': 0.05518, 'colsample_bytree': 0.59548, 'subsample': 0.630578, 'reg_alpha': 1.465652, 'reg_lambda': 2.7e-08, 'gamma': 2.57e-05, 'min_child_weight': 63.056}"
44027.0,year,4.0,1.0,0.0107316866165123,2022-11-06 10:52:56.704364,2022-11-06 11:03:34.185975,0 days 00:10:37.481611,18.0,0.0362851975872355,0.2029008757614227,0.6309701013104659,0.031520041139715,0.0083870883157731,2.4118587503938185e-08,2.804872073512087,637.0,COMPLETE,
44027.0,year,4.0,2.0,0.0101815558445037,2022-11-06 11:03:34.187236,2022-11-06 11:14:14.282489,0 days 00:10:40.095253,39.0,0.0972371930353206,0.2479311767246209,0.7132798242337438,0.2593470539605625,9.057787550596845e-06,0.0232333100315975,17.523159112112733,384.0,COMPLETE,
44027.0,year,4.0,3.0,0.0094115684641578,2022-11-06 11:14:14.283759,2022-11-06 11:42:37.894389,0 days 00:28:23.610630,34.0,0.0121883694231927,0.408550307816815,0.4374570489934968,0.161436929196347,0.0105406195143864,1.3886041070141467e-08,40.394682966423495,1000.0,COMPLETE,
44027.0,year,4.0,4.0,0.0097008550293705,2022-11-06 11:42:37.895644,2022-11-06 11:54:57.200108,0 days 00:12:19.304464,49.0,0.0708814031459671,0.2152801116572532,0.7729455070083714,0.2615947541612533,0.0004393893614979,0.0372263124940863,82.088435424615,522.0,COMPLETE,
44027.0,year,4.0,5.0,0.37569,2022-11-06 11:54:57.201380,2022-11-06 11:54:58.800788,0 days 00:00:01.599408,49.0,0.0085239524590244,0.2848079229963126,0.630524741234625,0.6999921604192701,3.1736612495323503e-08,0.0015411189993174,58.47765744716982,,PRUNED,
44027.0,year,4.0,6.0,0.377839,2022-11-06 11:54:58.801123,2022-11-06 11:54:59.803760,0 days 00:00:01.002637,5.0,0.002258181365317,0.240543179503484,0.5049035772147167,0.0193370256187462,0.5120144179691966,1.1003100605054462e-05,6.865521181218233,,PRUNED,
44027.0,year,4.0,7.0,0.37632,2022-11-06 11:54:59.804179,2022-11-06 11:55:00.902525,0 days 00:00:01.098346,22.0,0.0067085066396722,0.3609849189908353,0.5515116057480771,4.698636575617209,0.0749123243848412,0.0779780137068962,57.44309916892601,,PRUNED,
44027.0,year,4.0,8.0,0.367262,2022-11-06 11:55:00.903023,2022-11-06 11:55:02.694807,0 days 00:00:01.791784,18.0,0.0332510629506922,0.277603376928832,0.5686528755823073,0.05453274762956,1.4280482542045504e-08,0.0671188163862721,3.9115867242037177,,PRUNED,
44027.0,year,4.0,9.0,0.361661,2022-11-06 11:55:02.696145,2022-11-06 11:55:04.186680,0 days 00:00:01.490535,26.0,0.0497339401964649,0.2038550934587525,0.6626559195835592,0.4405976566680578,0.0259629581195087,1.5324039687253325e-08,6.206393548466853,,PRUNED,
