dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,67.0,3340684.0,2022-11-04 06:48:00.704415,2022-11-04 06:49:28.783379,0 days 00:01:28.078964,95.0,3.0,0.0003388342150942,1024.0,PRUNED,3340684.0,,,,
44027.0,year,1.0,68.0,393962.71875,2022-11-04 06:49:28.783720,2022-11-04 06:51:06.793375,0 days 00:01:38.009655,369.0,6.0,0.0009941941289519,2048.0,PRUNED,393962.71875,,,,
44027.0,year,1.0,69.0,544182.125,2022-11-04 06:51:06.793705,2022-11-04 07:02:30.930757,0 days 00:11:24.137052,178.0,4.0,0.0002261160620878,4096.0,PRUNED,544182.125,,,,
44027.0,year,1.0,70.0,545085.9375,2022-11-04 07:02:30.931111,2022-11-04 07:06:32.170747,0 days 00:04:01.239636,423.0,3.0,0.000264089877643,1024.0,PRUNED,545085.9375,,,,
44027.0,year,1.0,71.0,602230.875,2022-11-04 07:06:32.171061,2022-11-04 07:07:58.517162,0 days 00:01:26.346101,240.0,2.0,0.013473448058914,4096.0,PRUNED,602230.875,,,,
44027.0,year,1.0,72.0,243.50454711914065,2022-11-04 07:07:58.517506,2022-11-04 07:13:09.109405,0 days 00:05:10.591899,643.0,4.0,0.0325147699772216,1024.0,COMPLETE,200906.421875,904.5690307617188,,,
44027.0,year,1.0,73.0,1868507.75,2022-11-04 07:13:09.110062,2022-11-04 07:14:53.121787,0 days 00:01:44.011725,32.0,3.0,0.0007488731537011,512.0,PRUNED,1868507.75,,,,
44027.0,year,1.0,74.0,98.34757232666016,2022-11-04 07:14:53.122204,2022-11-04 07:55:08.967389,0 days 00:40:15.845185,596.0,4.0,7.671708814598327e-05,512.0,COMPLETE,,,,,
44027.0,year,1.0,75.0,127.92294311523438,2022-11-04 07:55:08.967955,2022-11-04 08:07:28.696441,0 days 00:12:19.728486,601.0,6.0,0.0094072823299526,512.0,COMPLETE,171000.046875,823.7520751953125,,,
44027.0,year,1.0,76.0,178.40457153320312,2022-11-04 08:07:28.697106,2022-11-04 08:14:07.934127,0 days 00:06:39.237021,30.0,3.0,0.0897147492763829,512.0,COMPLETE,892.9308471679688,435.185791015625,,,
44027.0,year,1.0,77.0,161249.359375,2022-11-04 08:14:07.934851,2022-11-04 08:19:59.611975,0 days 00:05:51.677124,790.0,5.0,0.0014262902935256,512.0,PRUNED,161249.359375,,,,
44027.0,year,1.0,78.0,115.0552215576172,2022-11-04 08:19:59.612335,2022-11-04 08:25:30.940225,0 days 00:05:31.327890,104.0,3.0,0.0498025918519196,512.0,COMPLETE,13714.029296875,131.55714416503906,,,
44027.0,year,1.0,79.0,110.81388092041016,2022-11-04 08:25:30.940891,2022-11-04 08:32:26.294402,0 days 00:06:55.353511,118.0,2.0,0.0659833362078322,512.0,COMPLETE,46975.07421875,140.2898712158203,,,
44027.0,year,1.0,80.0,90.109130859375,2022-11-04 08:32:26.295057,2022-11-04 08:39:53.079793,0 days 00:07:26.784736,131.0,2.0,0.0279933051966392,512.0,COMPLETE,158777.3125,167.26133728027344,,,
44027.0,year,1.0,81.0,387369.09375,2022-11-04 08:39:53.080472,2022-11-04 09:13:11.811125,0 days 00:33:18.730653,26.0,2.0,0.0072206564397833,8124.0,PRUNED,387369.09375,,,,
44027.0,year,1.0,82.0,105.3427734375,2022-11-04 09:13:11.811515,2022-11-04 09:38:49.108661,0 days 00:25:37.297146,67.0,6.0,0.0415686781636291,4096.0,COMPLETE,167021.515625,,,,
44027.0,year,1.0,83.0,501656.96875,2022-11-04 09:38:49.109306,2022-11-04 09:40:25.040099,0 days 00:01:35.930793,153.0,2.0,0.0032945837624293,512.0,PRUNED,501656.96875,,,,
44027.0,year,1.0,84.0,105.31526184082033,2022-11-04 09:40:25.040456,2022-11-04 10:20:37.167831,0 days 00:40:12.127375,342.0,5.0,0.0001001156473759,1024.0,COMPLETE,172067.765625,111.48148345947266,,,
44027.0,year,1.0,85.0,98.97216796875,2022-11-04 10:20:37.168428,2022-11-04 10:26:47.095373,0 days 00:06:09.926945,301.0,2.0,0.0251359284095904,512.0,COMPLETE,134163.421875,128.15235900878906,,,
44027.0,year,1.0,86.0,11924.92578125,2022-11-04 10:26:47.096047,2022-11-04 10:31:03.701991,0 days 00:04:16.605944,283.0,2.0,0.0094478639027938,512.0,PRUNED,219855.453125,11924.92578125,,,
44027.0,year,1.0,87.0,635433.6875,2022-11-04 10:31:03.702398,2022-11-04 11:00:36.154384,0 days 00:29:32.451986,37.0,3.0,1.615532292267029e-05,512.0,COMPLETE,,,,,
44027.0,year,1.0,88.0,104.13929748535156,2022-11-04 11:00:36.155046,2022-11-04 11:18:22.428664,0 days 00:17:46.273618,205.0,3.0,0.0005112565446348,512.0,COMPLETE,,,,,
44027.0,year,1.0,89.0,325.833251953125,2022-11-04 11:18:22.429332,2022-11-04 11:22:39.912427,0 days 00:04:17.483095,354.0,2.0,0.0148154967652993,512.0,PRUNED,167369.640625,325.833251953125,,,
44027.0,year,1.0,90.0,87.27751159667969,2022-11-04 11:22:39.912778,2022-11-04 11:28:21.961285,0 days 00:05:42.048507,1022.0,2.0,0.0272020751053945,512.0,COMPLETE,7830.2744140625,87.27751159667969,,,
44027.0,year,1.0,91.0,81.61690521240234,2022-11-04 11:28:21.961920,2022-11-04 11:50:00.509180,0 days 00:21:38.547260,877.0,2.0,0.001605352352928,512.0,COMPLETE,147579.0625,95.93769073486328,,,
44027.0,year,1.0,92.0,218976.765625,2022-11-04 11:50:00.509916,2022-11-04 11:51:38.280826,0 days 00:01:37.770910,932.0,2.0,0.0053115634109951,512.0,PRUNED,218976.765625,,,,
44027.0,year,1.0,93.0,89.75241088867188,2022-11-04 11:51:38.281187,2022-11-04 11:58:09.405083,0 days 00:06:31.123896,1007.0,2.0,0.0256809757452326,512.0,COMPLETE,14134.8369140625,105.20369720458984,,,
44027.0,year,1.0,94.0,2700596.75,2022-11-04 11:58:09.405795,2022-11-04 12:02:29.515054,0 days 00:04:20.109259,903.0,2.0,5.250140392235475e-05,512.0,PRUNED,2700596.75,,,,
44027.0,year,1.0,95.0,3773838.25,2022-11-04 12:02:29.515410,2022-11-04 12:06:25.589093,0 days 00:03:56.073683,179.0,2.0,0.000756074166541,8124.0,PRUNED,3773838.25,,,,
