dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_BPV,1.0,46.0,5.553875923156738,2022-11-08 18:01:45.266314,2022-11-08 18:04:15.081339,0 days 00:02:29.815025,961.0,3.0,6.694617912440742e-05,2048.0,PRUNED,5.553875923156738,,,
44027.0,r1_08_BPV,1.0,47.0,0.085255317389965,2022-11-08 18:04:15.081705,2022-11-08 18:06:32.034593,0 days 00:02:16.952888,192.0,2.0,0.024125744326738,512.0,COMPLETE,0.085255317389965,,,
44027.0,r1_08_BPV,1.0,48.0,0.2027901262044906,2022-11-08 18:06:32.035221,2022-11-08 18:08:55.574734,0 days 00:02:23.539513,189.0,5.0,0.0432265666721335,512.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,49.0,363.6325378417969,2022-11-08 18:08:55.575383,2022-11-08 18:09:55.712854,0 days 00:01:00.137471,23.0,2.0,1.202048492416118e-05,512.0,PRUNED,363.6325378417969,,,
44027.0,r1_08_BPV,1.0,50.0,2.047987937927246,2022-11-08 18:09:55.713255,2022-11-08 18:10:56.249649,0 days 00:01:00.536394,185.0,2.0,0.0272518436909839,512.0,PRUNED,2.047987937927246,,,
44027.0,r1_08_BPV,1.0,51.0,0.2037341743707656,2022-11-08 18:10:56.249995,2022-11-08 18:13:37.256891,0 days 00:02:41.006896,277.0,3.0,0.0272405827788986,512.0,COMPLETE,0.3355572819709778,,,
44027.0,r1_08_BPV,1.0,52.0,0.1036224365234375,2022-11-08 18:13:37.257534,2022-11-08 18:15:54.984912,0 days 00:02:17.727378,217.0,2.0,0.0254951582168626,512.0,COMPLETE,0.1036224365234375,,,
44027.0,r1_08_BPV,1.0,53.0,0.0036682363133877,2022-11-08 18:15:54.985530,2022-11-08 18:33:18.340600,0 days 00:17:23.355070,284.0,4.0,0.0003370374410751,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,54.0,0.6933666467666626,2022-11-08 18:33:18.341223,2022-11-08 18:35:36.359523,0 days 00:02:18.018300,323.0,6.0,0.0044654013391201,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,55.0,2.051874876022339,2022-11-08 18:35:36.360191,2022-11-08 18:37:49.250505,0 days 00:02:12.890314,609.0,6.0,0.0025516247649105,512.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,56.0,0.0091678155586123,2022-11-08 18:37:49.251114,2022-11-08 18:40:21.206244,0 days 00:02:31.955130,127.0,2.0,0.0064976710890158,512.0,PRUNED,0.0105416951701045,0.0091678155586123,,
44027.0,r1_08_BPV,1.0,57.0,0.0155609417706727,2022-11-08 18:40:21.206551,2022-11-08 18:48:25.299360,0 days 00:08:04.092809,882.0,4.0,0.0002320116140345,512.0,PRUNED,0.0027665607631206,0.0155609417706727,,
44027.0,r1_08_BPV,1.0,58.0,0.891767144203186,2022-11-08 18:48:25.299713,2022-11-08 18:50:56.832998,0 days 00:02:31.533285,419.0,4.0,0.0113535310464356,4096.0,PRUNED,0.891767144203186,,,
44027.0,r1_08_BPV,1.0,59.0,0.3664864003658294,2022-11-08 18:50:56.833359,2022-11-08 18:58:29.381373,0 days 00:07:32.548014,146.0,3.0,1.776012027270377e-05,512.0,PRUNED,0.3664864003658294,,,
44027.0,r1_08_BPV,2.0,0.0,0.0022532362490892,2022-11-08 19:56:35.056612,2022-11-08 20:02:34.998982,0 days 00:05:59.942370,200.0,4.0,0.001,512.0,COMPLETE,0.0044324020855128,,,"{'n_max': 200, 'n_layers': 4, 'lr': 0.001, 'batch_size': 512}"
44027.0,r1_08_BPV,2.0,1.0,0.0029062959365546,2022-11-08 20:02:34.999508,2022-11-08 20:07:57.195304,0 days 00:05:22.195796,584.0,6.0,0.0002470184165162,512.0,COMPLETE,0.0234156772494316,0.0030347015708684,,
44027.0,r1_08_BPV,2.0,2.0,2.625201940536499,2022-11-08 20:07:57.195861,2022-11-08 20:08:57.431443,0 days 00:01:00.235582,722.0,2.0,0.0262879268489222,8124.0,PRUNED,2.625201940536499,,,
44027.0,r1_08_BPV,2.0,3.0,9.314512252807615,2022-11-08 20:08:57.431785,2022-11-08 20:09:57.647328,0 days 00:01:00.215543,71.0,5.0,0.0007486581328536,4096.0,PRUNED,9.314512252807615,,,
44027.0,r1_08_BPV,2.0,4.0,5.773802757263184,2022-11-08 20:09:57.647645,2022-11-08 20:10:58.574405,0 days 00:01:00.926760,594.0,3.0,0.0019830242487466,8124.0,PRUNED,5.773802757263184,,,
44027.0,r1_08_BPV,2.0,5.0,0.0547930002212524,2022-11-08 20:10:58.574744,2022-11-08 20:37:43.091126,0 days 00:26:44.516382,83.0,3.0,0.0010740567200678,8124.0,COMPLETE,2.6044585704803467,0.0589592568576335,,
44027.0,r1_08_BPV,2.0,6.0,5.835731029510498,2022-11-08 20:37:43.091763,2022-11-08 20:38:41.946162,0 days 00:00:58.854399,161.0,3.0,0.0006579522177215,2048.0,PRUNED,5.835731029510498,,,
44027.0,r1_08_BPV,2.0,7.0,0.0050792512483894,2022-11-08 20:38:41.946491,2022-11-08 20:41:51.508370,0 days 00:03:09.561879,266.0,6.0,0.0001520538311601,512.0,PRUNED,0.0311737544834613,0.0050792512483894,,
44027.0,r1_08_BPV,2.0,8.0,0.62375408411026,2022-11-08 20:41:51.508703,2022-11-08 20:44:22.080273,0 days 00:02:30.571570,238.0,2.0,0.0579431143463735,8124.0,PRUNED,0.62375408411026,,,
