dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
287.0,wine_quality,1.0,36.0,0.0133040128275752,2022-10-23 03:59:39.654086,2022-10-23 04:02:44.758784,0 days 00:03:05.104698,433.0,4.0,15.0,linear,matern1.5,,0.0012433752371986,512.0,1357.0,True,random,99.0,,,COMPLETE,
287.0,wine_quality,1.0,37.0,0.0156847964972257,2022-10-23 04:02:44.759404,2022-10-23 04:07:43.433209,0 days 00:04:58.673805,514.0,4.0,12.0,constant,matern0.5,,0.0002399254284606,2048.0,1177.0,False,kmeans,231.0,,,COMPLETE,
287.0,wine_quality,1.0,38.0,0.0124489860609173,2022-10-23 04:07:43.433806,2022-10-23 04:13:42.944331,0 days 00:05:59.510525,727.0,5.0,18.0,constant,rbf,,0.0007837473582305,512.0,1977.0,True,random,161.0,,,COMPLETE,
287.0,wine_quality,1.0,39.0,0.0200248714536428,2022-10-23 04:13:42.944942,2022-10-23 04:15:21.478937,0 days 00:01:38.533995,683.0,5.0,17.0,linear,rbf,,0.0007857174894155,1024.0,1921.0,False,kmeans,38.0,,,COMPLETE,
287.0,wine_quality,1.0,40.0,0.0125287333503365,2022-10-23 04:15:21.479533,2022-10-23 04:19:34.736402,0 days 00:04:13.256869,743.0,5.0,18.0,constant,rbf,,0.0006155792069877,512.0,1013.0,True,random,168.0,,,COMPLETE,
287.0,wine_quality,1.0,41.0,0.0126539198681712,2022-10-23 04:19:34.737014,2022-10-23 04:23:04.668170,0 days 00:03:29.931156,748.0,5.0,18.0,constant,rbf,,0.0006422064299599,512.0,982.0,True,random,138.0,,,COMPLETE,
287.0,wine_quality,1.0,42.0,0.0126813575625419,2022-10-23 04:23:04.668749,2022-10-23 04:28:49.651008,0 days 00:05:44.982259,816.0,5.0,20.0,constant,rbf,,0.0003567925391764,512.0,1194.0,True,random,208.0,,,COMPLETE,
287.0,wine_quality,1.0,43.0,0.0127032157033681,2022-10-23 04:28:49.651601,2022-10-23 04:36:05.533004,0 days 00:07:15.881403,712.0,5.0,18.0,constant,rbf,,0.000188612825296,512.0,869.0,True,random,309.0,,,COMPLETE,
287.0,wine_quality,1.0,44.0,0.0165641792118549,2022-10-23 04:36:05.533605,2022-10-23 04:37:14.487643,0 days 00:01:08.954038,680.0,5.0,19.0,constant,rbf,,0.0922652039897524,512.0,634.0,True,random,43.0,,,COMPLETE,
287.0,wine_quality,1.0,45.0,0.0141505897045135,2022-10-23 04:37:14.488232,2022-10-23 04:39:38.523602,0 days 00:02:24.035370,635.0,5.0,16.0,linear,rbf,,0.000886351855279,512.0,1529.0,False,random,71.0,,,COMPLETE,
