dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2,system_attrs_completed_rung_3
44027.0,year,1.0,32.0,0.0108684161677956,2022-11-02 18:50:02.922241,2022-11-02 18:55:14.251808,0 days 00:05:11.329567,341.0,5.0,11.0,constant,rbf,,0.006283434343464,1024.0,64.0,1.0,kmeans,33.0,COMPLETE,,,,,
44027.0,year,1.0,33.0,0.0100910263136029,2022-11-02 18:55:14.252647,2022-11-02 19:01:45.292235,0 days 00:06:31.039588,842.0,3.0,6.0,linear,matern1.5,,0.0009302956492622,2048.0,970.0,0.0,random,42.0,COMPLETE,0.0104537652805447,0.0101490141823887,,,
44027.0,year,1.0,34.0,0.0103549128398299,2022-11-02 19:01:45.293053,2022-11-02 19:04:46.041625,0 days 00:03:00.748572,819.0,3.0,6.0,linear,matern1.5,,0.0006692609425182,2048.0,1036.0,0.0,random,16.0,COMPLETE,0.0105996001511812,,,,
44027.0,year,1.0,35.0,0.012968698516488,2022-11-02 19:04:46.042487,2022-11-02 19:13:26.023024,0 days 00:08:39.980537,293.0,5.0,17.0,linear,matern1.5,,2.9841002932360614e-06,8192.0,50.0,1.0,random,93.0,COMPLETE,,,,,
44027.0,year,1.0,36.0,0.0103370454162359,2022-11-02 19:13:26.023874,2022-11-02 19:15:44.532288,0 days 00:02:18.508414,775.0,3.0,13.0,linear,matern1.5,,0.0011880285832746,2048.0,97.0,1.0,random,15.0,COMPLETE,,,,,
44027.0,year,1.0,37.0,0.0106614669784903,2022-11-02 19:15:44.533165,2022-11-02 19:20:04.085158,0 days 00:04:19.551993,802.0,3.0,7.0,linear,matern1.5,,0.0004710599446823,2048.0,997.0,0.0,random,,PRUNED,0.0108456658199429,0.0106614669784903,,,
44027.0,year,1.0,38.0,3.660153865814209,2022-11-02 19:20:04.085507,2022-11-02 19:24:53.458612,0 days 00:04:49.373105,108.0,5.0,7.0,linear,matern1.5,,1.0330346824619672e-06,1024.0,474.0,0.0,random,,PRUNED,3.660153865814209,,,,
44027.0,year,1.0,39.0,0.0111925927922129,2022-11-02 19:24:53.458942,2022-11-02 19:26:04.861719,0 days 00:01:11.402777,776.0,3.0,6.0,linear,matern1.5,,0.0003918426002081,2048.0,265.0,0.0,random,,PRUNED,0.0111925927922129,,,,
44027.0,year,1.0,40.0,0.0107871536165475,2022-11-02 19:26:04.862069,2022-11-02 19:29:57.213728,0 days 00:03:52.351659,243.0,2.0,13.0,constant,matern1.5,,0.0002154217833668,2048.0,809.0,0.0,random,,PRUNED,0.0107871536165475,,,,
44027.0,year,1.0,41.0,0.0097882617264986,2022-11-02 19:29:57.214067,2022-11-02 19:40:27.819275,0 days 00:10:30.605208,910.0,3.0,12.0,constant,matern1.5,,0.0002596177185782,2048.0,1029.0,0.0,random,68.0,COMPLETE,0.0101346485316753,,,,
44027.0,year,1.0,42.0,0.0263594519346952,2022-11-02 19:40:27.820004,2022-11-02 19:41:21.414584,0 days 00:00:53.594580,749.0,3.0,6.0,linear,matern1.5,,3.4999761705194715e-05,2048.0,769.0,0.0,random,2.0,COMPLETE,,,,,
44027.0,year,1.0,43.0,0.0139114959165453,2022-11-02 19:41:21.415343,2022-11-02 19:43:15.485109,0 days 00:01:54.069766,676.0,3.0,9.0,linear,matern1.5,,8.77509061032055e-06,1024.0,341.0,1.0,kmeans,,PRUNED,0.0139114959165453,,,,
