dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,44.0,0.0010581465903669,2022-10-28 14:52:20.946342,2022-10-28 14:53:52.844034,0 days 00:01:31.897692,556.0,3.0,12.0,constant,matern0.5,,0.0079145350865368,512.0,945.0,1.0,random,23.0,COMPLETE,
42225.0,diamonds,1.0,45.0,0.0010358362924307,2022-10-28 14:53:52.844604,2022-10-28 14:56:02.573622,0 days 00:02:09.729018,653.0,3.0,11.0,constant,matern0.5,,0.0040087763741561,512.0,1643.0,1.0,random,23.0,COMPLETE,
42225.0,diamonds,1.0,46.0,0.0010555789340287,2022-10-28 14:56:02.574193,2022-10-28 14:57:33.179101,0 days 00:01:30.604908,829.0,3.0,15.0,constant,matern0.5,,0.0025840534200585,2048.0,803.0,1.0,random,53.0,COMPLETE,
42225.0,diamonds,1.0,47.0,0.0010722097940742,2022-10-28 14:57:33.179658,2022-10-28 14:58:41.630618,0 days 00:01:08.450960,583.0,3.0,10.0,constant,matern0.5,,0.0048460856199317,512.0,564.0,1.0,random,19.0,COMPLETE,
42225.0,diamonds,1.0,48.0,0.0011153216473758,2022-10-28 14:58:41.631213,2022-10-28 14:59:38.990729,0 days 00:00:57.359516,731.0,2.0,14.0,constant,matern0.5,,0.0235593812591022,512.0,76.0,0.0,random,21.0,COMPLETE,
42225.0,diamonds,1.0,49.0,0.0010466616367921,2022-10-28 14:59:38.991287,2022-10-28 15:01:01.528555,0 days 00:01:22.537268,517.0,3.0,15.0,constant,matern0.5,,0.0100935758740831,512.0,118.0,1.0,random,29.0,COMPLETE,
42225.0,diamonds,1.0,50.0,0.001843586564064,2022-10-28 15:01:01.529162,2022-10-28 15:01:17.538062,0 days 00:00:16.008900,773.0,2.0,12.0,constant,matern0.5,,0.0478703744521884,1024.0,368.0,1.0,random,3.0,COMPLETE,
42225.0,diamonds,1.0,51.0,0.0010477269534021,2022-10-28 15:01:17.538642,2022-10-28 15:03:01.548443,0 days 00:01:44.009801,737.0,3.0,12.0,constant,matern0.5,,0.0063694754214616,512.0,1183.0,1.0,random,23.0,COMPLETE,
42225.0,diamonds,1.0,52.0,0.0010573666077107,2022-10-28 15:03:01.549040,2022-10-28 15:04:34.396831,0 days 00:01:32.847791,878.0,3.0,13.0,constant,matern0.5,,0.0086742034680231,512.0,1320.0,1.0,random,18.0,COMPLETE,
42225.0,diamonds,1.0,53.0,0.0010374351404607,2022-10-28 15:04:34.397408,2022-10-28 15:06:04.213536,0 days 00:01:29.816128,655.0,3.0,11.0,constant,matern0.5,,0.0030041218169252,512.0,757.0,1.0,random,24.0,COMPLETE,
42225.0,diamonds,1.0,54.0,0.0010381551692262,2022-10-28 15:06:04.214138,2022-10-28 15:08:18.256915,0 days 00:02:14.042777,709.0,3.0,9.0,constant,matern0.5,,0.0063592266730581,512.0,1876.0,1.0,random,21.0,COMPLETE,
42225.0,diamonds,1.0,55.0,0.0010597370564937,2022-10-28 15:08:18.257490,2022-10-28 15:10:55.133604,0 days 00:02:36.876114,753.0,3.0,18.0,constant,rbf,,0.001974135536334,512.0,1025.0,1.0,random,43.0,COMPLETE,
42225.0,diamonds,1.0,56.0,0.0011152261868119,2022-10-28 15:10:55.134191,2022-10-28 15:11:52.808149,0 days 00:00:57.673958,800.0,3.0,10.0,constant,matern0.5,,0.0132085965805973,512.0,1088.0,1.0,random,11.0,COMPLETE,
42225.0,diamonds,1.0,57.0,0.0011218067957088,2022-10-28 15:11:52.808735,2022-10-28 15:12:38.533255,0 days 00:00:45.724520,617.0,4.0,14.0,constant,matern0.5,,0.0047906847205956,512.0,665.0,1.0,random,9.0,COMPLETE,
42225.0,diamonds,1.0,58.0,0.0010612949263304,2022-10-28 15:12:38.533836,2022-10-28 15:14:06.722127,0 days 00:01:28.188291,418.0,3.0,12.0,constant,matern0.5,,0.0039761636275376,512.0,1604.0,1.0,random,14.0,COMPLETE,
42225.0,diamonds,1.0,59.0,0.0010026656091213,2022-10-28 15:14:06.722721,2022-10-28 15:16:10.307567,0 days 00:02:03.584846,566.0,3.0,13.0,constant,rbf,,0.0062096363973835,512.0,439.0,1.0,random,44.0,COMPLETE,
42225.0,diamonds,1.0,60.0,0.0015161274932324,2022-10-28 15:16:10.308165,2022-10-28 15:16:51.560528,0 days 00:00:41.252363,497.0,2.0,16.0,constant,rbf,,0.0184723295161394,2048.0,455.0,1.0,random,25.0,COMPLETE,
42225.0,diamonds,1.0,61.0,0.0011078708339482,2022-10-28 15:16:51.561151,2022-10-28 15:17:49.379866,0 days 00:00:57.818715,639.0,3.0,13.0,constant,rbf,,0.0061130496824534,512.0,526.0,1.0,random,16.0,COMPLETE,
42225.0,diamonds,1.0,62.0,0.0010127392597496,2022-10-28 15:17:49.380450,2022-10-28 15:19:44.467956,0 days 00:01:55.087506,587.0,3.0,12.0,constant,rbf,,0.0099927070501553,512.0,421.0,1.0,random,41.0,COMPLETE,
