dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,6.0,0.0001476664474466,2022-11-05 09:06:02.893845,2022-11-05 09:09:09.953928,0 days 00:03:07.060083,2.0,4.0,512.0,0.0041274535264143,88.0,5.0,0.2,,,,PRUNED,0.0001476664474466,,,
44027.0,r1_08_PPV,1.0,7.0,6.041044252924621e-05,2022-11-05 09:09:09.954307,2022-11-05 09:13:37.595026,0 days 00:04:27.640719,3.0,3.0,1024.0,0.0125076940465928,254.0,10.0,1.0,,,,PRUNED,6.041044252924621e-05,,,
44027.0,r1_08_PPV,1.0,8.0,3.9996048144530505e-06,2022-11-05 09:13:37.595444,2022-11-05 09:19:16.028038,0 days 00:05:38.432594,1.0,1.0,512.0,0.0090697365617483,228.0,6.0,1.0,,,,PRUNED,1.8198963516624644e-05,3.9996048144530505e-06,,
44027.0,r1_08_PPV,1.0,9.0,4.3929630919592455e-06,2022-11-05 09:19:16.028470,2022-11-05 09:26:38.130629,0 days 00:07:22.102159,2.0,2.0,2048.0,0.0032248445808985,50.0,5.0,1.0,17.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,10.0,5.965463969914708e-06,2022-11-05 09:26:38.131153,2022-11-05 09:43:24.730906,0 days 00:16:46.599753,2.0,2.0,512.0,0.0006640033407777,316.0,5.0,0.2,13.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,11.0,4.2065814341185614e-05,2022-11-05 09:43:24.731417,2022-11-05 09:46:03.195285,0 days 00:02:38.463868,1.0,1.0,512.0,0.0053933163015392,504.0,5.0,0.05,,,,PRUNED,4.2065814341185614e-05,,,
44027.0,r1_08_PPV,1.0,12.0,9.05623073776951e-06,2022-11-05 09:46:03.195640,2022-11-05 09:56:26.292117,0 days 00:10:23.096477,1.0,2.0,512.0,0.0977633028048018,739.0,9.0,1.0,4.0,,,COMPLETE,9.05623073776951e-06,,,
44027.0,r1_08_PPV,1.0,13.0,2.994977694470436e-05,2022-11-05 09:56:26.292641,2022-11-05 09:59:20.191565,0 days 00:02:53.898924,2.0,1.0,512.0,0.0011681746287767,112.0,5.0,1.0,,,,PRUNED,2.994977694470436e-05,,,
44027.0,r1_08_PPV,1.0,14.0,3.486813056952087e-06,2022-11-05 09:59:20.191942,2022-11-05 10:04:15.722486,0 days 00:04:55.530544,1.0,4.0,512.0,0.0307263022378881,487.0,6.0,0.01,1.0,,,COMPLETE,1.1378431736375204e-05,,,
44027.0,r1_08_PPV,1.0,15.0,0.0041192704811692,2022-11-05 10:04:15.722991,2022-11-05 10:08:13.043082,0 days 00:03:57.320091,1.0,2.0,2048.0,0.0001670162351649,697.0,6.0,1.0,,,,PRUNED,0.0041192704811692,,,
