dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,32.0,0.0111849335953593,2022-11-04 12:47:38.149505,2022-11-04 13:27:38.915407,0 days 00:40:00.765902,2.0,1.0,1024.0,0.0012202481069863,99.0,8.0,0.2,95.0,,,COMPLETE,,,,,
44027.0,year,1.0,33.0,0.0150026166811585,2022-11-04 13:27:38.915942,2022-11-04 13:32:03.142782,0 days 00:04:24.226840,2.0,3.0,2048.0,0.0049298548506059,131.0,8.0,0.05,,,,PRUNED,0.0150026166811585,,,,
44027.0,year,1.0,34.0,0.011300204321742,2022-11-04 13:32:03.143188,2022-11-04 13:37:47.409470,0 days 00:05:44.266282,2.0,2.0,1024.0,0.0102528940768745,275.0,9.0,0.01,,,,PRUNED,0.011966710910201,0.011300204321742,,,
44027.0,year,1.0,35.0,0.0111477356404066,2022-11-04 13:37:47.409855,2022-11-04 13:50:45.580711,0 days 00:12:58.170856,2.0,1.0,512.0,0.0220370132645204,563.0,8.0,1.0,6.0,,,COMPLETE,,,,,
44027.0,year,1.0,36.0,0.0118492161855101,2022-11-04 13:50:45.581295,2022-11-04 14:31:04.175318,0 days 00:40:18.594023,2.0,1.0,1024.0,0.0008255875122341,795.0,9.0,0.01,35.0,,,COMPLETE,,,,,
44027.0,year,1.0,37.0,0.0150012951344251,2022-11-04 14:31:04.175882,2022-11-04 14:34:10.084500,0 days 00:03:05.908618,3.0,3.0,2048.0,0.0035964891060536,157.0,10.0,0.05,,,,PRUNED,0.0150012951344251,,,,
44027.0,year,1.0,38.0,0.0114329131320118,2022-11-04 14:34:10.084914,2022-11-04 14:37:34.053127,0 days 00:03:23.968213,1.0,4.0,2048.0,0.0061121071811925,481.0,8.0,0.01,,,,PRUNED,0.0127173187211155,0.0114329131320118,,,
44027.0,year,1.0,39.0,0.0113967098295688,2022-11-04 14:37:34.053518,2022-11-04 14:44:53.002756,0 days 00:07:18.949238,3.0,2.0,1024.0,0.007517375990251,234.0,9.0,0.05,,,,PRUNED,0.0120280981063842,0.0113967098295688,,,
44027.0,year,1.0,40.0,0.0150032583624124,2022-11-04 14:44:53.003155,2022-11-04 14:47:22.361309,0 days 00:02:29.358154,3.0,2.0,1024.0,0.019949232903868,152.0,9.0,0.05,,,,PRUNED,0.0150032583624124,,,,
44027.0,year,1.0,41.0,0.0111968303099274,2022-11-04 14:47:22.361709,2022-11-04 14:55:24.554494,0 days 00:08:02.192785,1.0,4.0,1024.0,0.051179582776443,65.0,10.0,0.01,23.0,,,COMPLETE,,,,,
44027.0,year,1.0,42.0,0.0113979969173669,2022-11-04 14:55:24.555051,2022-11-04 15:04:17.222924,0 days 00:08:52.667873,3.0,3.0,1024.0,0.0024564405424005,213.0,10.0,0.05,,,,PRUNED,0.0121280867606401,0.0113979969173669,,,
44027.0,year,1.0,43.0,0.0150367990136146,2022-11-04 15:04:17.223311,2022-11-04 15:16:07.553779,0 days 00:11:50.330468,1.0,1.0,1024.0,0.0001061376554305,51.0,10.0,0.2,40.0,,,COMPLETE,,,,,
44027.0,year,1.0,44.0,0.015002854168415,2022-11-04 15:16:07.554309,2022-11-04 15:18:41.488320,0 days 00:02:33.934011,2.0,2.0,1024.0,0.0467478420670054,329.0,9.0,0.05,,,,PRUNED,0.015002854168415,,,,
44027.0,year,1.0,45.0,0.0118783032521605,2022-11-04 15:18:41.488723,2022-11-04 15:25:03.590544,0 days 00:06:22.101821,1.0,3.0,512.0,0.0005959038968364,373.0,8.0,0.05,,,,PRUNED,0.0118783032521605,,,,
44027.0,year,1.0,46.0,0.015026157721877,2022-11-04 15:25:03.590910,2022-11-04 15:27:27.166885,0 days 00:02:23.575975,3.0,3.0,1024.0,0.01743846676576,81.0,7.0,0.05,,,,PRUNED,0.015026157721877,,,,
44027.0,year,1.0,47.0,0.0151345636695623,2022-11-04 15:27:27.167329,2022-11-04 15:29:59.957388,0 days 00:02:32.790059,1.0,1.0,1024.0,0.0906311817061186,67.0,5.0,1.0,,,,PRUNED,0.0151345636695623,,,,
44027.0,year,1.0,48.0,0.0150978993624448,2022-11-04 15:29:59.957749,2022-11-04 15:32:09.718568,0 days 00:02:09.760819,2.0,4.0,1024.0,0.0080107092752845,148.0,8.0,0.2,,,,PRUNED,0.0150978993624448,,,,
44027.0,year,1.0,49.0,0.0114173078909516,2022-11-04 15:32:09.718921,2022-11-04 16:12:31.952588,0 days 00:40:22.233667,1.0,1.0,512.0,0.0004946264459429,384.0,7.0,0.01,67.0,,,COMPLETE,,,,,
44027.0,year,1.0,50.0,0.0110559370368719,2022-11-04 16:12:31.953179,2022-11-04 16:40:24.020908,0 days 00:27:52.067729,2.0,2.0,1024.0,0.0135563591185967,777.0,9.0,0.2,16.0,,,COMPLETE,0.0112093426287174,,,,
44027.0,year,1.0,51.0,0.0116616692394018,2022-11-04 16:40:24.021467,2022-11-04 16:52:26.762675,0 days 00:12:02.741208,3.0,2.0,512.0,0.0018591917606784,296.0,10.0,1.0,,,,PRUNED,0.0121062872931361,0.0116616692394018,,,
44027.0,year,1.0,52.0,0.0125097846612334,2022-11-04 16:52:26.763086,2022-11-04 16:56:18.968862,0 days 00:03:52.205776,2.0,3.0,1024.0,0.0054266918101627,418.0,9.0,0.05,,,,PRUNED,0.0125097846612334,,,,
44027.0,year,1.0,53.0,0.0150354681536555,2022-11-04 16:56:18.969224,2022-11-04 16:59:50.273912,0 days 00:03:31.304688,3.0,4.0,2048.0,0.0942640663181426,193.0,8.0,0.05,,,,PRUNED,0.0150354681536555,,,,
